Freq.	V(vin)	V(vout)
5.01187233627274e+04	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-8.56362588668183e+01dB,9.38144523623512e+01°)
6.30957344480195e+04	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-8.40009555999776e+01dB,8.13385736468390e+01°)
7.94328234724284e+04	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-8.21530071429844e+01dB,7.21982975377025e+01°)
1.00000000000000e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-8.02767803044197e+01dB,6.42024637515651e+01°)
1.25892541179417e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.84377647251766e+01dB,5.59484904758986e+01°)
1.58489319246112e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.66782702040043e+01dB,4.65292905859376e+01°)
1.99526231496889e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.50478823145072e+01dB,3.52861254722976e+01°)
2.51188643150959e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.36164561159803e+01dB,2.16913971951865e+01°)
3.16227766016839e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.24831168243549e+01dB,5.33251109710666e+00°)
3.98107170553499e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.17820732988538e+01dB,-1.40164168071645e+01°)
5.01187233627274e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.16786789655622e+01dB,-3.62396576142438e+01°)
6.30957344480196e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.23426148284122e+01dB,-6.06922212927648e+01°)
7.94328234724285e+05	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.38914002476759e+01dB,-8.61540163815473e+01°)
1.00000000000000e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.63338783281987e+01dB,-1.11132206955557e+02°)
1.25892541179417e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-7.95690071465312e+01dB,-1.34389348455424e+02°)
1.58489319246112e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-8.34435034306185e+01dB,-1.55264123395505e+02°)
1.99526231496889e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-8.78131278901109e+01dB,-1.73615341932086e+02°)
2.51188643150959e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-9.25714293913274e+01dB,1.70414805504382e+02°)
3.16227766016839e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-9.76492699873986e+01dB,1.56612087655905e+02°)
3.98107170553499e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.03001723166886e+02dB,1.44794201167778e+02°)
5.01187233627275e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.08597439114111e+02dB,1.34817266583207e+02°)
6.30957344480196e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.14418087652953e+02dB,1.26543715872845e+02°)
